Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
WHITNEY,29.9692573,-90.05151248529518,Three Muses,29.96326543676881,-90.05780965089798,Cocktail Bar
WHITNEY,29.9692573,-90.05151248529518,Creole Inn,29.966010999999998,-90.05246,Bed and Breakfast
WHITNEY,29.9692573,-90.05151248529518,Siberia,29.968951173041933,-90.05590188795466,Rock Club
WHITNEY,29.9692573,-90.05151248529518,Loretta's Pralines,29.967626,-90.057889,Bakery
WHITNEY,29.9692573,-90.05151248529518,Royal Frenchman Hotel and Bar,29.96466,-90.058004,Hotel
WHITNEY,29.9692573,-90.05151248529518,Sneaky Pickle,29.964891,-90.043027,Vegan and Vegetarian Restaurant
WHITNEY,29.9692573,-90.05151248529518,Dat Dog,29.96361619922148,-90.05771407527185,Hot Dog Joint
WHITNEY,29.9692573,-90.05151248529518,Louisiana Music Factory,29.96249288632808,-90.05764946231926,Music Store
WHITNEY,29.9692573,-90.05151248529518,Melba's Old School Po Boys,29.97307847110259,-90.05656071668577,Southern Food Restaurant
WHITNEY,29.9692573,-90.05151248529518,Royal Street Courtyard Bed and Breakfast,29.96471080078829,-90.05314697436506,Bed and Breakfast
WHITNEY,29.9692573,-90.05151248529518,Gene's Curbside Daiquiris,29.968296594531154,-90.05706413310932,Bar
WHITNEY,29.9692573,-90.05151248529518,Mag's 940,29.967447458051947,-90.05700484825906,Gay Bar
WHITNEY,29.9692573,-90.05151248529518,Maison,29.962784,-90.057813,Jazz and Blues Venue
WHITNEY,29.9692573,-90.05151248529518,Elysian Fields Inn,29.967219,-90.057148,Hotel
WHITNEY,29.9692573,-90.05151248529518,30° / -90°,29.963054662554278,-90.05778416358508,Music Venue
WHITNEY,29.9692573,-90.05151248529518,Snug Harbor Jazz Bistro,29.964167,-90.057912,Jazz and Blues Venue
WHITNEY,29.9692573,-90.05151248529518,Crescent Park,29.961509151072672,-90.04656241385287,Park
WHITNEY,29.9692573,-90.05151248529518,Lamothe House,29.96340203294833,-90.05913182358928,Hotel
WHITNEY,29.9692573,-90.05151248529518,The Friendly Bar,29.96376019055864,-90.05504482837858,Bar
WHITNEY,29.9692573,-90.05151248529518,Ayu Bakehouse,29.965548,-90.057832,Bakery
WHITNEY,29.9692573,-90.05151248529518,Blue Nile,29.96319841250946,-90.05775493981369,Rock Club
WHITNEY,29.9692573,-90.05151248529518,Press Street Station,29.963925126938058,-90.04858743180534,New American Restaurant
WHITNEY,29.9692573,-90.05151248529518,Cafe Negril,29.963753710398272,-90.05775491233568,Bar
WHITNEY,29.9692573,-90.05151248529518,The Orange Couch,29.964825550251163,-90.05415533451387,Coffee Shop
WHITNEY,29.9692573,-90.05151248529518,Alma,29.964146,-90.043501,Honduran Restaurant
WHITNEY,29.9692573,-90.05151248529518,Subway,29.968779875768252,-90.05084735719056,Sandwich Spot
WHITNEY,29.9692573,-90.05151248529518,Bamboula's,29.96296870267747,-90.05775392003633,Jazz and Blues Venue
WHITNEY,29.9692573,-90.05151248529518,CVS pharmacy,29.974074624822094,-90.05777208261772,Pharmacy
WHITNEY,29.9692573,-90.05151248529518,A Bicycle Named Desire,29.964338520126873,-90.05686258667644,Bike Rental
WHITNEY,29.9692573,-90.05151248529518,Cutter's,29.965112407043552,-90.05142897465196,Gay Bar
WHITNEY,29.9692573,-90.05151248529518,The New Movement,29.96648232834072,-90.05978178084179,Comedy Club
WHITNEY,29.9692573,-90.05151248529518,Harold's Indoor Outdoor Plants,29.968850741385413,-90.04667055628396,Flower Store
WHITNEY,29.9692573,-90.05151248529518,Marigny Brasserie,29.964379187691364,-90.05784962997252,Southern Food Restaurant
WHITNEY,29.9692573,-90.05151248529518,R Bar,29.9640845717406,-90.05943300933612,Dive Bar
WHITNEY,29.9692573,-90.05151248529518,The Bar @ Blue Nile,29.963172364725885,-90.05778536722117,Night Club
WHITNEY,29.9692573,-90.05151248529518,Washington Square Park,29.965111818239624,-90.05760591111812,Park
WHITNEY,29.9692573,-90.05151248529518,Royal Sushi & Bar,29.9644503135998,-90.05900986185506,Sushi Restaurant
WHITNEY,29.9692573,-90.05151248529518,American Aquatic Gardens,29.963824,-90.056117,Garden Center
WHITNEY,29.9692573,-90.05151248529518,Small Mart,29.96358,-90.050652,Convenience Store
WHITNEY,29.9692573,-90.05151248529518,Fritai,29.969593,-90.051643,Caribbean Restaurant
WHITNEY,29.9692573,-90.05151248529518,Adolfo's,29.96384174190187,-90.05770043714224,Italian Restaurant
WHITNEY,29.9692573,-90.05151248529518,Cafe Nero,29.966795351443448,-90.05408599072334,Breakfast Spot
WHITNEY,29.9692573,-90.05151248529518,Saturn Bar,29.9678890136124,-90.04420706568702,Bar
WHITNEY,29.9692573,-90.05151248529518,Apple Barrel Bar,29.963793536049497,-90.05772753050782,Dive Bar
WHITNEY,29.9692573,-90.05151248529518,Frenchmen Hotel,29.962336,-90.057409,Hotel
WHITNEY,29.9692573,-90.05151248529518,Capt Sal's Seafood & Chicken,29.967223288698353,-90.04259686476688,Seafood Restaurant
WHITNEY,29.9692573,-90.05151248529518,Dr Bob Art,29.962918885753695,-90.04628464932358,Art Gallery
WHITNEY,29.9692573,-90.05151248529518,Subway,29.974341,-90.048163,Sandwich Spot
WHITNEY,29.9692573,-90.05151248529518,Mona's,29.96262076985654,-90.05768704404075,Middle Eastern Restaurant
WHITNEY,29.9692573,-90.05151248529518,Cajun Seafood,29.977265000000003,-90.047241,Fish Market
WHITNEY,29.9692573,-90.05151248529518,Family Dollar,29.967614022957097,-90.04296945128962,Discount Store
WHITNEY,29.9692573,-90.05151248529518,Domino's Pizza,29.96976002334872,-90.05031287670135,Pizzeria
WHITNEY,29.9692573,-90.05151248529518,Bargain Center,29.963901206752414,-90.04330477313803,Flea Market
WHITNEY,29.9692573,-90.05151248529518,Family Dollar,29.976494,-90.04709,Discount Store
WHITNEY,29.9692573,-90.05151248529518,Hotel de la Monnaie,29.961674318781938,-90.05701703567654,Hotel
WHITNEY,29.9692573,-90.05151248529518,Big Daddy's,29.965041307783032,-90.05140738034223,Bar
